PassengerId,Age,Fare,Sex,SibSp,Parch,Pclass,Survived,Embarked_1.0,Embarked_2.0
1,22.0,7.25,,1,0,3,0,False,True
2,38.0,71.2833,,1,0,1,1,False,False
3,26.0,7.925,,0,0,3,1,False,True
4,35.0,53.1,,1,0,1,1,False,True
5,35.0,8.05,,0,0,3,0,False,True
6,28.0,8.4583,,0,0,3,0,True,False
7,54.0,51.8625,,0,0,1,0,False,True
8,2.0,21.075,,3,1,3,0,False,True
9,27.0,11.1333,,0,2,3,1,False,True
10,14.0,30.0708,,1,0,2,1,False,False
11,4.0,16.7,,1,1,3,1,False,True
12,58.0,26.55,,0,0,1,1,False,True
13,20.0,8.05,,0,0,3,0,False,True
14,39.0,31.275,,1,5,3,0,False,True
15,14.0,7.8542,,0,0,3,0,False,True
16,55.0,16.0,,0,0,2,1,False,True
17,2.0,29.125,,4,1,3,0,True,False
18,28.0,13.0,,0,0,2,1,False,True
19,31.0,18.0,,1,0,3,0,False,True
20,28.0,7.225,,0,0,3,1,False,False
21,35.0,26.0,,0,0,2,0,False,True
22,34.0,13.0,,0,0,2,1,False,True
23,15.0,8.0292,,0,0,3,1,True,False
24,28.0,35.5,,0,0,1,1,False,True
25,8.0,21.075,,3,1,3,0,False,True
26,38.0,31.3875,,1,5,3,1,False,True
27,28.0,7.225,,0,0,3,0,False,False
28,19.0,263.0,,3,2,1,0,False,True
29,28.0,7.8792,,0,0,3,1,True,False
30,28.0,7.8958,,0,0,3,0,False,True
31,40.0,27.7208,,0,0,1,0,False,False
32,28.0,146.5208,,1,0,1,1,False,False
33,28.0,7.75,,0,0,3,1,True,False
34,66.0,10.5,,0,0,2,0,False,True
35,28.0,82.1708,,1,0,1,0,False,False
36,42.0,52.0,,1,0,1,0,False,True
37,28.0,7.2292,,0,0,3,1,False,False
38,21.0,8.05,,0,0,3,0,False,True
39,18.0,18.0,,2,0,3,0,False,True
40,14.0,11.2417,,1,0,3,1,False,False
41,40.0,9.475,,1,0,3,0,False,True
42,27.0,21.0,,1,0,2,0,False,True
43,28.0,7.8958,,0,0,3,0,False,False
44,3.0,41.5792,,1,2,2,1,False,False
45,19.0,7.8792,,0,0,3,1,True,False
46,28.0,8.05,,0,0,3,0,False,True
47,28.0,15.5,,1,0,3,0,True,False
